City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Namatanai,PG,84.76,light rain,-3.67,152.43,Namatanai Hotel
11,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Bonthe,SL,76.93,overcast clouds,7.53,-12.51,Bonthe Holiday Village
15,Atambua,ID,83.37,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
19,Atuona,PF,78.6,few clouds,-9.8,-139.03,Villa Enata
21,Kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
22,Georgetown,MY,80.6,haze,5.41,100.34,Cititel Penang
28,Cabo San Lucas,MX,89.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
29,Butaritari,KI,82.96,overcast clouds,3.07,172.79,Isles Sunset Lodge
35,Brownwood,US,78.8,clear sky,31.71,-98.99,La Quinta Inn & Suites by Wyndham Brownwood
41,Wilmington,US,86.0,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
43,Auki,SB,86.05,clear sky,-8.77,160.7,Auki Motel
45,San Ignacio,BZ,77.0,scattered clouds,17.16,-89.07,Rainforest Haven Inn
46,Bengkulu,ID,77.81,light rain,-3.8,102.27,Grage Hotel Bengkulu
52,Barcelona,ES,75.0,few clouds,41.39,2.16,Axel Hotel Barcelona
53,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
57,Emerald,AU,75.99,overcast clouds,-23.53,148.17,The Irish Village
58,Victoria,HK,87.01,moderate rain,22.29,114.16,Mini Hotel Central
59,Padang,ID,77.14,light rain,-0.95,100.35,Mercure Padang
60,Harper,LR,75.54,overcast clouds,4.38,-7.72,Screensaver
67,Yarmouth,US,75.2,clear sky,41.71,-70.23,The Inn At Cape Cod
69,Sinnamary,GF,78.98,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
73,Mayor Pablo Lagerenza,PY,79.59,clear sky,-19.93,-60.77,
75,Gat,IL,84.2,broken clouds,31.61,34.76,OlusHome
76,Ixtapa,MX,89.6,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
77,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
79,Hilo,US,86.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
86,Porto Velho,BR,82.4,few clouds,-8.76,-63.9,Ecos Hotel Conforto
89,Lufilufi,WS,87.8,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
97,Pirgos,GR,80.01,clear sky,35.12,25.72,Daios Cove
101,Wattegama,LK,75.2,few clouds,6.8,81.48,
107,Tabuk,PH,81.88,few clouds,17.42,121.44,Grand Zion Garden Resort Hotel
109,Belawan,ID,79.74,overcast clouds,3.78,98.68,Lilik Hidayat Pulungan
112,Hobyo,SO,76.37,overcast clouds,5.35,48.53,Osmani Hotel
113,Filadelfia,US,80.6,broken clouds,39.95,-75.16,Loews Philadelphia Hotel
116,Sucila,MX,80.73,scattered clouds,21.15,-88.32,POSADA YAMI’YA
117,Shenjiamen,CN,78.67,broken clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
120,Sao Filipe,CV,80.01,light rain,14.9,-24.5,Tortuga B&B
124,Yarada,IN,78.8,mist,17.65,83.27,"D-26/2, Dolphin Hill,"
125,Kununurra,AU,86.0,clear sky,-15.77,128.73,Hotel Kununurra
127,Bali Chak,IN,80.56,clear sky,22.37,87.55,MG Guest House
131,Bluffton,US,87.8,haze,32.24,-80.86,Holiday Inn Express & Suites Bluffton @ Hilton Head Area
133,San Borja,BO,80.26,few clouds,-14.82,-66.85,
135,Kavieng,PG,84.24,light rain,-2.57,150.8,Nusa Island Retreat
136,Auburn,US,84.99,broken clouds,47.31,-122.23,La Quinta Inn & Suites by Wyndham Auburn
139,Trindade,BR,82.4,scattered clouds,-16.65,-49.49,Pousada Central
