City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mrakovo,RU,52.72,56.62,43.23,77,63,4.76,broken clouds
1,Rikitea,PF,-23.12,-134.97,72.07,82,100,12.44,overcast clouds
2,Namatanai,PG,-3.67,152.43,84.76,69,100,9.08,light rain
3,Broken Hill,AU,-31.95,141.43,62.6,42,0,5.82,clear sky
4,Punta Arenas,CL,-53.15,-70.92,39.2,86,100,6.93,overcast clouds
5,Lebu,CL,-37.62,-73.65,47.12,75,100,3.13,overcast clouds
6,Sol-Iletsk,RU,51.16,54.99,49.8,61,0,6.4,clear sky
7,Khatanga,RU,71.97,102.5,42.48,75,73,8.5,broken clouds
8,Jamestown,US,42.1,-79.24,61.0,63,1,6.93,clear sky
9,Esperance,AU,-33.87,121.9,55.4,87,0,13.87,clear sky
10,Saldanha,ZA,-33.01,17.94,55.4,93,25,4.7,scattered clouds
11,Vaini,TO,-21.2,-175.2,75.2,64,40,16.11,scattered clouds
12,Muros,ES,42.78,-9.06,66.0,84,7,1.01,clear sky
13,Bonthe,SL,7.53,-12.51,76.93,88,100,4.59,overcast clouds
14,Ushuaia,AR,-54.8,-68.3,39.2,80,75,1.12,broken clouds
15,Atambua,ID,-9.11,124.89,83.37,42,0,1.39,clear sky
16,Barrow,US,71.29,-156.79,39.2,86,75,6.93,broken clouds
17,Puerto Ayora,EC,-0.74,-90.35,66.99,89,63,5.99,broken clouds
18,Thompson,CA,55.74,-97.86,53.6,54,20,8.05,few clouds
19,Atuona,PF,-9.8,-139.03,78.6,74,16,21.43,few clouds
20,Norman Wells,CA,65.28,-126.83,53.6,71,75,4.7,broken clouds
21,Kapaa,US,22.08,-159.32,84.2,66,75,9.17,broken clouds
22,Georgetown,MY,5.41,100.34,80.6,100,20,3.36,haze
23,Albany,US,42.6,-73.97,64.0,95,0,5.88,clear sky
24,Port Alfred,ZA,-33.59,26.89,63.28,80,3,22.3,clear sky
25,Pangnirtung,CA,66.15,-65.71,44.46,59,0,4.34,clear sky
26,Kodiak,US,57.79,-152.41,55.4,66,40,6.93,scattered clouds
27,Kaitangata,NZ,-46.28,169.85,57.61,51,3,7.74,clear sky
28,Cabo San Lucas,MX,22.89,-109.91,89.01,62,5,5.82,clear sky
29,Butaritari,KI,3.07,172.79,82.96,74,87,10.71,overcast clouds
30,Iqaluit,CA,63.75,-68.51,42.8,56,40,2.24,scattered clouds
31,Mataura,NZ,-46.19,168.86,58.21,47,42,7.74,scattered clouds
32,Wanlaweyn,SO,2.62,44.89,74.08,75,12,12.39,few clouds
33,Malakal,SS,9.53,31.66,71.74,94,100,2.73,overcast clouds
34,Tigil,RU,57.8,158.67,54.57,52,100,2.44,overcast clouds
35,Brownwood,US,31.71,-98.99,78.8,69,1,6.93,clear sky
36,Green Valley,US,31.85,-110.99,107.6,8,1,6.93,clear sky
37,Saint-Philippe,RE,-21.36,55.77,64.4,88,75,8.05,broken clouds
38,Chadan,RU,51.28,91.58,53.01,73,100,1.97,light rain
39,Mwene-Ditu,CD,-7.0,23.45,70.05,48,91,2.93,overcast clouds
40,Souillac,MU,-20.52,57.52,66.2,82,40,11.41,scattered clouds
41,Wilmington,US,34.23,-77.94,86.0,70,1,4.7,clear sky
42,Ostrovnoy,RU,68.05,39.51,57.6,82,100,18.95,overcast clouds
43,Auki,SB,-8.77,160.7,86.05,65,3,5.32,clear sky
44,Xuddur,SO,4.12,43.89,71.33,64,94,18.32,overcast clouds
